chapter,according,alma,ammon,away,began,behold,believe,brethren,bring,brother,brought,called,came,cast,cause,children,christ,church,city,come,commanded,commandments,concerning,day,days,death,destroy,did,earth,exceedingly,face,faith,father,fathers,forth,given,god,good,great,hand,hands,hath,having,heart,hearts,holy,house,insomuch,israel,jesus,king,know,lamanites,land,law,lord,make,man,manner,men,moroni,nephi,nephites,pass,people,power,remember,repent,said,saith,save,saw,say,saying,seed,shall,sins,son,sons,spake,speak,spirit,spoken,thee,things,thou,thy,time,unto,voice,went,wherefore,wilderness,word,words,world,written,ye,yea,year
1 Nephi 1,0.02643296211569108,0.0,0.0,0.08562309207821371,0.03198527009836371,0.06212181288608253,0.0,0.0,0.0,0.0,0.0,0.0,0.28325876078326545,0.06974222740907356,0.0,0.028023436239115084,0.0,0.0,0.04356743636774929,0.02300828875611847,0.0,0.0,0.08562309207821371,0.028151511412909475,0.1819924596872351,0.0,0.0,0.14408020224431253,0.057610490021048025,0.03362900339373113,0.0376309516652711,0.03741987666740643,0.3571227469641767,0.0,0.07588381433428848,0.0,0.11026997083862783,0.0,0.09441958692775515,0.03295425253182121,0.035241537646869915,0.12857341933961425,0.18100339223231474,0.07568882348366072,0.0,0.0,0.03941024383082335,0.0,0.0,0.0,0.0387232220910701,0.055539723500528944,0.0,0.0,0.0,0.18872139980177544,0.38972460454388463,0.0,0.03230277363562077,0.0,0.0,0.09055429196431596,0.0,0.17717826659281716,0.0637034889558749,0.057610490021048025,0.0,0.03784441174183036,0.0,0.0,0.0,0.29603738235081356,0.0,0.03230277363562077,0.0,0.07111856785323163,0.0,0.0,0.0,0.04012319696212348,0.0,0.0993620828284192,0.0,0.03784441174183036,0.3525621661347225,0.07162231833326904,0.10406577117924225,0.0,0.25075356879146943,0.0,0.1110140183815551,0.07928983570417751,0.0,0.0,0.0,0.03721113403768791,0.1135332352254911,0.026315989508055578,0.15503098326871503,0.08543013102612836
1 Nephi 2,0.0249419662837035,0.0,0.0,0.05386225139087511,0.0,0.11723545440769445,0.07393704554661654,0.05589999870394811,0.0,0.0,0.0,0.032392379533999,0.26728107240111065,0.0,0.0,0.0,0.0,0.0,0.041109941602297424,0.0,0.13738149431879845,0.105336531692992,0.0,0.026563577907875533,0.03434537357969961,0.0,0.0,0.3398827882775927,0.0,0.031732102710618326,0.0,0.03530914538044739,0.2527339768507209,0.0,0.0,0.0,0.062430004236173745,0.0,0.04454684540018511,0.0,0.0,0.0,0.03415871809247151,0.10712920151287185,0.02974093037627432,0.03189489321329788,0.037187242525400586,0.0,0.0,0.0,0.0,0.026203455838460246,0.0,0.14509993556499473,0.0,0.2374350010549897,0.0,0.024831591713385115,0.0,0.0,0.0,0.05696428288118001,0.0,0.22987831279764862,0.020036728721983532,0.05436087311756998,0.0,0.0,0.05361553156671601,0.0,0.03141091499119973,0.03491736178200922,0.0,0.06096136235987603,0.09017514545860611,0.20132101507695974,0.0,0.0,0.0,0.22715988199361462,0.03632801903698389,0.06250493125308448,0.03125246562654224,0.07141946767524791,0.1330701208915468,0.3041205327441853,0.1963915315037255,0.0,0.3822151694532955,0.0,0.0,0.14963471744999932,0.26991374655333,0.02974093037627432,0.09341633210243394,0.0,0.0,0.04966318342677023,0.06269408530844962,0.0
1 Nephi 3,0.0,0.0,0.0,0.0,0.08469679174130734,0.2558860349499797,0.0,0.13072619932435006,0.03284494873583655,0.039514481276195314,0.0,0.0,0.3333632873601799,0.030779495750573555,0.0,0.049470587257217036,0.0,0.0,0.0,0.0,0.16063829182636347,0.1313797949433462,0.0,0.0,0.0,0.0,0.0,0.1695659817576989,0.0,0.08904938705058095,0.0,0.0,0.23641469051761924,0.03284494873583655,0.0,0.0,0.05839883625629963,0.0,0.020835205460011243,0.0,0.09331936749451059,0.22697439764795943,0.0,0.0,0.0,0.029835407973531524,0.17393012491626825,0.0362931276771415,0.0,0.0,0.0,0.049022944835001206,0.0,0.15835246841840692,0.0,0.2961381132416103,0.0,0.02322819093472067,0.05702502605874467,0.02364507339488448,0.0,0.07992906301553654,0.0,0.2932293267445583,0.018742937055080476,0.02542536851297367,0.0,0.0,0.07523028438971828,0.0,0.02938268071057953,0.03266271271575533,0.0,0.11405005211748934,0.0,0.06277383841459096,0.0,0.02879755295950794,0.0,0.07083064687058928,0.03398228241713448,0.029234462580294895,0.05846892516058979,0.03340392051312882,0.1037313747829901,0.15804620275852221,0.09185516668413492,0.02407264630572076,0.3915861195875786,0.0,0.1306508508630213,0.20995898053031453,0.1803465323301679,0.0,0.10923043232297924,0.03284494873583655,0.0,0.06968457280416203,0.01954862178297055,0.0
1 Nephi 4,0.04632803685411868,0.0,0.0,0.07503415145078175,0.028029676837207404,0.09073209503330297,0.0,0.12978814353711202,0.03260926228275805,0.0,0.0,0.030083340979901247,0.2895997673904412,0.0,0.05864062580269356,0.0,0.0,0.039230936064658356,0.0763589713801468,0.0,0.0637942379870997,0.19565557369654832,0.100045535267709,0.0,0.0,0.0,0.0637942379870997,0.23148018054564762,0.05048584591460892,0.058940261850835916,0.0,0.0,0.07823941425098169,0.0652185245655161,0.1773315267870603,0.0,0.0,0.0,0.0,0.0,0.0926497329974315,0.11267284543357681,0.03172376894181441,0.03316422303002496,0.0,0.0,0.06907281978588244,0.0,0.0,0.0,0.0,0.0730067541978012,0.0,0.022459453429892064,0.12194021015302009,0.23888564893131628,0.0,0.11530755865023536,0.0,0.0,0.0,0.0793555137154134,0.0,0.19408346169583024,0.0,0.0,0.0,0.0,0.0746904522519213,0.0,0.029171838554779218,0.09728500181694506,0.0,0.08492374488326428,0.04187357779468041,0.062323390358147046,0.0,0.0,0.0,0.4219343120375189,0.0,0.14512341998819553,0.05804936799527821,0.0,0.02059740530853013,0.06276484241150204,0.09119603889535877,0.047799815036205236,0.42258283009807807,0.07297256395964279,0.16214166969490842,0.1042261858862837,0.21486289737296727,0.0,0.1301359492027849,0.0,0.0,0.06918453519014123,0.11645007701749814,0.0
1 Nephi 5,0.0,0.0,0.0,0.0,0.04145306829763818,0.1073469024719024,0.0,0.03838871785439816,0.04822581381846005,0.0,0.0,0.0,0.12236825180823625,0.0,0.0,0.03631851201450302,0.0,0.0,0.0,0.05963771212724272,0.18869050254369585,0.0964516276369201,0.11096795096173759,0.0,0.0,0.0,0.0,0.21785009745228454,0.0,0.08716670956192162,0.0,0.0,0.4628328469642501,0.14467744145538014,0.06556386587973982,0.09282287891813269,0.14291042777800564,0.0,0.030592062952059063,0.04270887432553164,0.09134641430238981,0.12497384069499921,0.0,0.0,0.0,0.043806944005348375,0.0,0.0532887304018758,0.11292722617325704,0.0,0.0501854874168425,0.14395951288947512,0.0,0.1660763451473486,0.0,0.27175985317792645,0.0,0.06821130520659037,0.12559366335840666,0.0,0.0,0.0,0.0,0.14351494381911065,0.027520012288623382,0.03733174005032207,0.0,0.0,0.03681988482376959,0.0,0.0,0.047958239024961734,0.0,0.12559366335840666,0.18578040948569377,0.0,0.0,0.04228307489903899,0.18300843712898904,0.10399972355247239,0.04989574616650153,0.04292458364965477,0.04292458364965477,0.0,0.12184594977209896,0.046411439459066346,0.0,0.035345555512792344,0.22498467630979802,0.0,0.0,0.20552003873319966,0.3707206762681909,0.0,0.0,0.04822581381846005,0.0,0.0,0.11481195505528852,0.0
1 Nephi 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0985803934688366,0.0,0.0,0.0,0.08093818828173768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20938010963397832,0.13090072907392772,0.0,0.12597591997994903,0.38790593060447365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18847082827197945,0.0,0.10618347747654215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10771123468172294,0.0,0.16808972293604107,0.250179754620025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4134125066275097,0.0,0.0,0.09593946933823345,0.4071216336583758,0.0,0.0,0.4183867639447659,0.0,0.0,0.0,0.26180145814785544,0.1331284632003468,0.0,0.0,0.0
1 Nephi 7,0.04338016131106586,0.0,0.0,0.07025969185837586,0.0,0.13593402823536987,0.0,0.19444745722794504,0.030534319045619977,0.03673465250055578,0.0,0.0,0.3099113064909818,0.02861416989474196,0.0,0.022995175100363478,0.0,0.0,0.0,0.037759796778111004,0.029867489780660554,0.0,0.07025969185837586,0.0,0.0,0.0,0.0,0.37438806317826406,0.0,0.027594932145051747,0.0,0.061411213732594595,0.17094233852708615,0.0,0.020755979423927325,0.0,0.03619366684528039,0.0,0.019369456655686363,0.0,0.14459064228973645,0.05275170870801552,0.0,0.031053967370317074,0.07759009509849209,0.0,0.06467768263000281,0.16869959952900412,0.0,0.0,0.0,0.04557419925318783,0.0,0.12618208483321114,0.0,0.30971802291470624,0.0,0.0,0.0,0.02198165144671871,0.0,0.12384347289658898,0.0,0.2907741384401592,0.0,0.0,0.0319607398863248,0.0,0.023312620802297578,0.0,0.0,0.0,0.025125064068298175,0.07952000564531349,0.07841828330108538,0.07781029691091085,0.0,0.0,0.11587234231800204,0.09877160657863022,0.12636656693466058,0.054355658444368536,0.054355658444368536,0.031053967370317074,0.05786034713840926,0.02938554246371576,0.0,0.0,0.3640381845467017,0.0,0.030364903260455642,0.03253140764285852,0.20119106659218752,0.0517267300656614,0.08123689025951893,0.0,0.0,0.32391144764346097,0.12721368556756965,0.0
1 Nephi 8,0.026092725576823267,0.0,0.0,0.05634731955396138,0.06314713209396626,0.12264440200662213,0.0,0.0,0.0,0.0,0.0,0.0,0.535924429127547,0.20653358404593405,0.0,0.0,0.0,0.0,0.0,0.15898493453540374,0.0,0.036732164355935376,0.0,0.0,0.0,0.0,0.0,0.3555641212059212,0.02843447321352582,0.1659807086951109,0.0,0.0,0.17626298923657224,0.0,0.12484510403343616,0.0,0.0,0.0,0.11650531067990151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04058843694808874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12419482598908956,0.03497347231698557,0.025977258602759595,0.06377396556280412,0.0,0.0,0.08938870640705922,0.0,0.3716575811601329,0.04192234550020724,0.0,0.0,0.0,0.05608921670060488,0.0,0.0,0.29222688491561555,0.030224940711180554,0.03188698278140206,0.04716779939356406,0.0,0.0,0.0,0.0,0.0792134882965723,0.038004102030278424,0.0,0.032694375411984763,0.0,0.046403213328673525,0.0,0.0,0.0,0.3046473230249806,0.04109936909331542,0.0,0.0782692425845221,0.08067625277608478,0.0,0.12215790698981459,0.036732164355935376,0.0,0.0,0.08744884262591363,0.0
1 Nephi 9,0.0,0.0,0.0,0.0,0.0,0.1324720850731793,0.0,0.0,0.0,0.0,0.0,0.2196137377910309,0.0,0.0,0.0,0.08963815261601679,0.0,0.0,0.0,0.0,0.11642731988476374,0.0,0.09129377436886543,0.0,0.0,0.0,0.0,0.07681120335328108,0.0,0.0,0.0,0.0,0.09519360575519507,0.0,0.0,0.11454862720420683,0.0,0.0,0.07550463539476558,0.0,0.0,0.2056329510554592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08882704763455869,0.0,0.0,0.0,0.20122012034255385,0.4533114002052897,0.0,0.0,0.08568730694735664,0.0,0.28965467952865925,0.0,0.0,0.339612352584434,0.09213891281437807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12314828614060172,0.0,0.10594267679882492,0.0,0.22554708127125583,0.0,0.0,0.0,0.06169859584821668,0.0,0.0,0.5072464585074308,0.0,0.0,0.07916796388102153,0.0,0.12105236225965019,0.0,0.0,0.0
1 Nephi 10,0.03127774049023454,0.0,0.0,0.06754437489254017,0.0,0.049005226472654255,0.0,0.10514962811947089,0.0,0.0,0.11524094005296821,0.0,0.08379399528311972,0.0412624828152918,0.0,0.03315972544035706,0.0,0.0,0.0515527152262043,0.16335224520547986,0.0,0.0,0.33772187446270086,0.03331127493494831,0.04306980731378381,0.0,0.0,0.02841466874991266,0.06816965682873398,0.0,0.0890563180498196,0.044278397042946054,0.35214847008748296,0.0,0.029930738771902256,0.0,0.20876937010151858,0.0,0.05586266352207981,0.0,0.0,0.0,0.04283573748046784,0.0,0.0,0.19998427179758527,0.1399007088727633,0.0,0.15465814567861288,0.0,0.0,0.06571934885487984,0.0,0.060652771292226224,0.0,0.17368656181302997,0.08384644892327535,0.031139328501064496,0.038223403282145595,0.0633963884612732,0.0,0.10715157960505234,0.0,0.07861967690300098,0.0,0.13633931365746796,0.04608833613467231,0.044780743235881874,0.10085247471159178,0.0,0.039389935680310864,0.043787092324589265,0.0,0.0,0.0,0.05610237953695083,0.046359290541033084,0.0772110461940891,0.0,0.3323403770296435,0.1366682569094988,0.0,0.11757371072051084,0.0,0.22249690399479474,0.04237482496914607,0.04104650562952832,0.09681417420458142,0.22824081472835378,0.0,0.0,0.2814675359289099,0.04835391555062986,0.03729574050683533,0.11714600845076777,0.1761255796734541,0.044780743235881874,0.15569664250532247,0.10482623587066797,0.0
